store,app_id,name,developer,rating,ratings_count,installs,price,free,contains_ads,in_app_purchases,iap_range,prices_mentioned,plan_keywords,mentions_subscription,mentions_trial,mentions_lifetime,url
play,com.despdev.quitsmoking,Quit Tracker: Stop Smoking,despDev,4.7247524,178130.0,"5,000,000+",0.0,True,True,True,₹99.00 - ₹999.00 per item,,pro,False,False,False,https://play.google.com/store/apps/details?id=com.despdev.quitsmoking&hl=en&gl=in
play,com.portablepixels.smokefree,Smoke Free - quit smoking now,David Crane PhD,4.7956524,59592.0,"1,000,000+",0.0,True,True,True,"₹70.00 - ₹2,600.00 per item",,pro,False,False,False,https://play.google.com/store/apps/details?id=com.portablepixels.smokefree&hl=en&gl=in
play,com.EAGINsoftware.dejaloYa,QuitNow: Quit smoking for good,Fewlaps,4.44,68121.0,"1,000,000+",0.0,True,True,True,"₹100.00 - ₹4,100.00 per item",rs 80,pro,False,False,False,https://play.google.com/store/apps/details?id=com.EAGINsoftware.dejaloYa&hl=en&gl=in
play,com.inforain.QuitSmoking,Quit Smoking Get Healthy,Matthias Carigiet,4.529412,477.0,"100,000+",0.0,True,False,False,,,pro,False,False,False,https://play.google.com/store/apps/details?id=com.inforain.QuitSmoking&hl=en&gl=in
play,org.instaquit.app,QuitSure: Quit Smoking Smartly,QuitSure,4.5581017,11478.0,"1,000,000+",0.0,True,False,True,"₹5.00 - ₹6,499.00 per item",,pro; subscription,True,False,False,https://play.google.com/store/apps/details?id=org.instaquit.app&hl=en&gl=in
play,net.offlinefirst.flamy,"Quit Smoking, Smoke-free Flamy",Offlinefirst LTD,4.77,19099.0,"1,000,000+",0.0,True,True,True,"₹80.00 - ₹1,400.00 per item",,pro,False,False,False,https://play.google.com/store/apps/details?id=net.offlinefirst.flamy&hl=en&gl=in
play,fr.kwit.android,Kwit - Quit smoking for good!,Kwit SAS,4.46,18437.0,"1,000,000+",0.0,True,False,True,"₹129.00 - ₹13,700.00 per item",,premium; pro,False,False,False,https://play.google.com/store/apps/details?id=fr.kwit.android&hl=en&gl=in
play,net.offlinefirst.smoxy,Quit smoking cigarette - Smoxy,Offlinefirst LTD,4.225806,883.0,"100,000+",0.0,True,False,True,"₹950.00 - ₹10,600.00 per item",,premium; pro; subscription,True,False,False,https://play.google.com/store/apps/details?id=net.offlinefirst.smoxy&hl=en&gl=in
play,com.franciscogaribay.quitsmokingalive,Quit Smoking Gradually: Alive,Francisco Garibay,4.36,1057.0,"10,000+",0.0,True,False,True,"₹170.00 - ₹3,999.00 per item",,pro; subscription; weekly,True,False,False,https://play.google.com/store/apps/details?id=com.franciscogaribay.quitsmokingalive&hl=en&gl=in
play,stopSmokingDemo.team.geny,Qwit – Quit Smoking App,Norulab,4.6571426,11153.0,"500,000+",0.0,True,False,True,₹99.00 - ₹699.00 per item,,premium; pro,False,False,False,https://play.google.com/store/apps/details?id=stopSmokingDemo.team.geny&hl=en&gl=in
play,com.trifoiltrailblazer.freedom_from_smoke,Smoke Tracker: Quit Smoking,Trifoil Trailblazer,0.0,0.0,"1,000+",0.0,True,False,True,"₹73.99 - ₹1,199.00 per item",,lifetime; monthly; premium; pro; subscription; yearly,True,False,True,https://play.google.com/store/apps/details?id=com.trifoiltrailblazer.freedom_from_smoke&hl=en&gl=in
play,com.theprojectfactory.quitbuddy,My QuitBuddy,Department of Health and Aged Care,4.780488,2671.0,"100,000+",0.0,True,False,False,,,pro,False,False,False,https://play.google.com/store/apps/details?id=com.theprojectfactory.quitbuddy&hl=en&gl=in
